time,T_out
2018/6/4 12:15,24.07407407
2018/6/4 12:30,24.44444444
2018/6/4 12:45,24.62962963
2018/6/4 13:00,24.62962963
2018/6/4 13:15,25.37037037
2018/6/4 13:30,25.92592593
2018/6/4 13:45,26.11111111
2018/6/4 14:00,26.11111111
2018/6/4 14:15,26.48148148
2018/6/4 14:30,27.03703704
2018/6/4 14:45,26.85185185
2018/6/4 15:00,27.03703704
2018/6/4 15:15,27.59259259
2018/6/4 15:30,27.59259259
2018/6/4 15:45,28.14814815
2018/6/4 16:00,28.33333333
2018/6/4 16:15,28.51851852
2018/6/4 16:30,28.33333333
2018/6/4 16:45,28.51851852
2018/6/4 17:00,28.88888889
2018/6/4 17:15,28.7037037
2018/6/4 17:30,28.51851852
2018/6/4 17:45,28.51851852
2018/6/4 18:00,28.51851852
2018/6/4 18:15,28.14814815
2018/6/4 18:30,27.77777778
2018/6/4 18:45,27.59259259
2018/6/4 19:00,27.03703704
2018/6/4 19:15,26.2962963
2018/6/4 19:30,25.74074074
2018/6/4 19:45,25.18518519
2018/6/4 20:00,25
2018/6/4 20:15,25.18518519
2018/6/4 20:30,25
2018/6/4 20:45,24.44444444
2018/6/4 21:00,24.44444444
2018/6/4 21:15,24.44444444
2018/6/4 21:30,24.44444444
2018/6/4 21:45,24.44444444
2018/6/4 22:00,24.44444444
2018/6/4 22:15,24.44444444
2018/6/4 22:30,24.44444444
2018/6/4 22:45,24.44444444
2018/6/4 23:00,24.44444444
2018/6/4 23:15,23.88888889
2018/6/4 23:30,23.88888889
2018/6/4 23:45,23.88888889
2018/6/5 0:00,23.33333333
2018/6/5 0:15,23.33333333
2018/6/5 0:30,23.33333333
2018/6/5 0:45,22.77777778
2018/6/5 1:00,22.77777778
2018/6/5 1:15,23.33333333
2018/6/5 1:30,23.33333333
2018/6/5 1:45,23.33333333
2018/6/5 2:00,23.14814815
2018/6/5 2:15,22.77777778
2018/6/5 2:30,22.59259259
2018/6/5 2:45,22.22222222
2018/6/5 3:00,22.22222222
2018/6/5 3:15,22.22222222
2018/6/5 3:30,22.22222222
2018/6/5 3:45,22.22222222
2018/6/5 4:00,21.66666667
2018/6/5 4:15,21.66666667
2018/6/5 4:30,21.66666667
2018/6/5 4:45,21.66666667
2018/6/5 5:00,21.66666667
2018/6/5 5:15,21.66666667
2018/6/5 5:30,21.66666667
2018/6/5 5:45,21.66666667
2018/6/5 6:00,21.66666667
2018/6/5 6:15,21.66666667
2018/6/5 6:30,22.22222222
2018/6/5 6:45,22.22222222
2018/6/5 7:00,22.77777778
2018/6/5 7:15,23.33333333
2018/6/5 7:30,23.7037037
2018/6/5 7:45,24.25925926
2018/6/5 8:00,24.81481481
2018/6/5 8:15,25.37037037
2018/6/5 8:30,25.55555556
2018/6/5 8:45,26.11111111
2018/6/5 9:00,27.03703704
2018/6/5 9:15,27.40740741
2018/6/5 9:30,28.33333333
2018/6/5 9:45,28.51851852
2018/6/5 10:00,29.07407407
2018/6/5 10:15,30
2018/6/5 10:30,30.37037037
2018/6/5 10:45,30.92592593
2018/6/5 11:00,31.48148148
2018/6/5 11:15,31.48148148
2018/6/5 11:30,32.03703704
2018/6/5 11:45,32.22222222
2018/6/5 12:00,32.77777778
2018/6/5 12:15,33.14814815
2018/6/5 12:30,33.33333333
2018/6/5 12:45,33.7037037
2018/6/5 13:00,34.07407407
2018/6/5 13:15,34.25925926
2018/6/5 13:30,34.25925926
2018/6/5 13:45,34.62962963
2018/6/5 14:00,34.62962963
2018/6/5 14:15,34.81481481
2018/6/5 14:30,34.81481481
2018/6/5 14:45,34.81481481
2018/6/5 15:00,35.18518519
2018/6/5 15:15,35
2018/6/5 15:30,34.62962963
2018/6/5 15:45,35.18518519
2018/6/5 16:00,35.18518519
2018/6/5 16:15,35.37037037
2018/6/5 16:30,35.55555556
2018/6/5 16:45,35.18518519
2018/6/5 17:00,34.62962963
2018/6/5 17:15,34.44444444
2018/6/5 17:30,34.44444444
2018/6/5 17:45,33.88888889
2018/6/5 18:00,33.33333333
2018/6/5 18:15,33.14814815
2018/6/5 18:30,32.59259259
2018/6/5 18:45,32.03703704
2018/6/5 19:00,31.66666667
2018/6/5 19:15,31.11111111
2018/6/5 19:30,31.11111111
2018/6/5 19:45,30.92592593
2018/6/5 20:00,30.55555556
2018/6/5 20:15,30
2018/6/5 20:30,30
2018/6/5 20:45,29.44444444
2018/6/5 21:00,29.44444444
2018/6/5 21:15,29.25925926
2018/6/5 21:30,28.88888889
2018/6/5 21:45,28.7037037
2018/6/5 22:00,28.33333333
2018/6/5 22:15,28.51851852
2018/6/5 22:30,27.96296296
2018/6/5 22:45,27.59259259
2018/6/5 23:00,27.22222222
2018/6/5 23:15,27.22222222
2018/6/5 23:30,26.85185185
2018/6/5 23:45,26.66666667
2018/6/6 0:00,26.2962963
2018/6/6 0:15,26.11111111
2018/6/6 0:30,25.55555556
2018/6/6 0:45,25.55555556
2018/6/6 1:00,25.55555556
2018/6/6 1:15,25
2018/6/6 1:30,24.62962963
2018/6/6 1:45,24.44444444
2018/6/6 2:00,24.44444444
2018/6/6 2:15,24.25925926
2018/6/6 2:30,23.88888889
2018/6/6 2:45,23.88888889
2018/6/6 3:00,23.88888889
2018/6/6 3:15,23.88888889
2018/6/6 3:30,23.7037037
2018/6/6 3:45,23.33333333
2018/6/6 4:00,23.33333333
2018/6/6 4:15,23.33333333
2018/6/6 4:30,23.33333333
2018/6/6 4:45,23.33333333
2018/6/6 5:00,23.33333333
2018/6/6 5:15,23.33333333
2018/6/6 5:30,22.77777778
2018/6/6 5:45,23.33333333
2018/6/6 6:00,23.33333333
2018/6/6 6:15,23.33333333
2018/6/6 6:30,24.07407407
2018/6/6 6:45,24.44444444
2018/6/6 7:00,24.62962963
2018/6/6 7:15,25.37037037
2018/6/6 7:30,25.92592593
2018/6/6 7:45,26.66666667
2018/6/6 8:00,27.03703704
2018/6/6 8:15,27.03703704
2018/6/6 8:30,27.22222222
2018/6/6 8:45,27.77777778
2018/6/6 9:00,27.77777778
2018/6/6 9:15,28.14814815
2018/6/6 9:30,28.88888889
